name,SI,isocode,malaria_index,meanrh,meantemp,itx,r,prop_tropics,coast,river,meanalt,city1800,lat,lon,province,N,tse,perturb_TSI1,perturb_TSI2,abslat,slavery_indigenous,intensive,plow,animals,central,female_ag,optimum,ln_popd_murdock,gathering,hunting,fishing,husbandry,agriculture
"BENIAMER",0.128595471382141,"ERI",1.04655194282532,42.6823081970215,29.4511108398438,1257.04138183594,0.260801494121552,1,1,0,0.123290099203587,0,18,38,40,6.52673625946045,-0.973412752151489,-2.58903169631958,0.426187485456467,18,1,0,0,1,1,NA,0,0.570123136043549,0,1,0,8,1
"BERABER",0.299273073673248,"MAR",0.0623489990830421,32.6075401306152,20.5602397918701,670.418823242188,0.255535423755646,0,0,1,1.02287995815277,0,33,-7,15,6.42109155654907,-1.00814318656921,0.26084378361702,-1.46362829208374,33,1,1,1,1,1,NA,0,2.01841378211975,0,1,0,4,5
"BERABISH",0.0919539928436279,"MLI",0.718158006668091,20.9320602416992,27.9591102600098,585.241760253906,0.285864353179932,1,0,0,0.241466194391251,0,20,-5,52,7.02386236190796,-0.809983968734741,-1.68837904930115,0.287512004375458,20,1,0,0,1,0,NA,0,-2.11491680145264,0,0,0,9,1
"BERGDAMA",0.0919539928436279,"NAM",0,29.7448406219482,22.0422191619873,655.642272949219,0.418617248535156,1,0,0,0.0996494591236115,0,-22,16,9,9.53019237518311,0.0139650218188763,0.27622264623642,-0.773973822593689,22,1,NA,NA,NA,NA,NA,0,-0.00964842084795237,4,3,1,2,0
"BETE",0.694005250930786,"CIV",21.489559173584,78.3631973266602,25.3789501190186,1988.77563476563,0.636058449745178,1,0,1,0.0708186477422714,0,6,-7,31,13.3182020187378,1.2592625617981,1.92515504360199,1.45014142990112,6,0,0,0,0,0,1,1,2.11224293708801,0,1,1,1,7
"BIAFADA",0.598676145076752,"GNB",13.7454700469971,45.058349609375,28.1072807312012,1266.46765136719,0.354204177856445,1,1,1,0.00125495798420161,0,12,-15,34,8.33778953552246,-0.378034055233002,-1.08758056163788,0.634905338287354,12,1,0,0,0,0,NA,0,0.691166996955872,1,0,2,1,6
"BIJOGO",0.910816967487335,"GNB",0,45.058349609375,28.1072807312012,1266.46765136719,0.354204177856445,1,1,0,2.44330003624782e-005,0,11,-16,34,8.33778953552246,-0.378034055233002,-1.08758056163788,0.634905338287354,11,1,0,0,1,0,0,0,2.61461687088013,1,0,2,2,5
"BIRA",0.665788650512695,"COD",11.2339096069336,79.4010925292969,21.7681903839111,1728.41809082031,0.302881181240082,1,0,1,0.546804070472717,0,1,29,36,7.35640811920166,-0.700660467147827,0.288624674081802,-0.879582941532135,1,0,0,0,0,0,NA,0,NA,0,0,0,1,9
"BIRIFOR",0.784781396389008,"BFA",27.5341205596924,54.9037094116211,27.0586891174316,1485.62243652344,0.450776159763336,1,0,1,0.0533568002283573,0,10,-3,12,10.1115264892578,0.205076977610588,0.0618771389126778,0.902191996574402,10,1,0,0,1,0,0,0,2.55109143257141,1,1,1,1,6
"BIROM",0.551652312278748,"NGA",8.29377460479736,51.5859489440918,26.0379199981689,1343.19079589844,0.472110271453857,1,0,1,0.191155388951302,0,10,9,13,10.4925909042358,0.33035084605217,0.525105953216553,0.831035912036896,10,NA,0,0,0,0,NA,0,3.06002616882324,1,0,0,2,7
"BISA",0.687859177589417,"BFA",33.0491905212402,45.058349609375,28.1072807312012,1266.46765136719,0.354204177856445,1,0,1,0.0640705898404121,0,12,0,12,8.33778953552246,-0.378034055233002,-1.08758056163788,0.634905338287354,12,1,0,0,1,0,0,0,2.61721563339233,1,1,0,1,7
"BISHARIN",0.100140392780304,"SDN",0,32.0520553588867,27.0650959014893,867.491943359375,0.356800556182861,1,1,1,0.342847496271133,0,20,35,40,8.38664817810059,-0.361971914768219,-0.727317273616791,0.470475614070892,20,0,1,0,1,0,1,0,-0.659427225589752,0,0,0,8,2
"BOBO",0.717555463314056,"BFA",31.6647605895996,45.058349609375,28.1072807312012,1266.46765136719,0.354204177856445,1,0,1,0.0572449415922165,0,13,-4,12,8.33778953552246,-0.378034055233002,-1.08758056163788,0.634905338287354,13,1,0,0,0,0,0,0,2.16038250923157,0,1,0,2,7
"BODI",0.431759655475616,"SDN",24.7436599731445,49.6957511901855,27.5027599334717,1366.77026367188,0.405712962150574,1,0,1,0.454210788011551,0,5,35,43,9.29443740844727,-0.0635387599468231,-0.443685054779053,0.770813822746277,5,NA,0,0,1,0,0,0,NA,0,2,0,5,3
"BOGO",0.128568768501282,"ERI",8.65829944610596,47.6163711547852,27.069730758667,1288.96240234375,0.416003704071045,1,0,0,0.662432014942169,0,16,36,40,9.48256301879883,-0.00169299589470029,-0.225900247693062,0.745994091033936,16,1,0,0,1,0,NA,0,2.31356501579285,0,0,0,9,1
"BOKI",0.710830569267273,"NGA",25.5688400268555,74.7266006469727,23.4531803131104,1752.57641601563,0.627707481384277,1,0,0,0.164710104465485,0,6,9,31,13.1781311035156,1.213214635849,0.101608045399189,-0.335415750741959,6,1,0,0,1,0,NA,1,3.24528360366821,0,1,1,1,7
"BOLEWA",0.698963105678558,"NGA",19.6575107574463,38.6434097290039,28.3798694610596,1096.69494628906,0.313818395137787,1,0,1,0.284346699714661,0,11,11,17,7.56816720962524,-0.63104522228241,-1.5623859167099,0.492779016494751,11,1,0,0,1,1,0,0,1.49757432937622,1,1,0,2,6
"BOMBESA",0.591379404067993,"COD",20.3694496154785,74.7247695922852,24.9705390930176,1865.91772460938,0.620208144187927,1,0,1,0.106293700635433,0,1,23,36,13.0520267486572,1.17175817489624,-0.302015215158463,-0.0243264473974705,1,1,0,0,0,0,NA,1,NA,0,1,1,0,8
"BOMVANA",0.424285769462585,"ZAF",0,75.1036071777344,16.2989692687988,1224.111328125,0,0,1,1,0.0248242598026991,0,-32,28,50,0,-3.11905908584595,-0.979422390460968,-1.87043011188507,32,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,4,6
"BONGO",0.718627572059631,"SDN",25.9018707275391,45.0939407348633,28.2032604217529,1271.79614257813,0.349039137363434,1,0,0,0.271662414073944,0,7,29,28,8.24038124084473,-0.41005676984787,-1.16687595844269,0.627122938632965,7,0,0,0,0,0,1,0,1.49540758132935,2,1,1,1,5
